rank,sweep_tier,hostile_prior_rank,title,year,venue,authors,doi,url,citations,query_source,source,concepts,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract_excerpt,relevance_score,hostile_score
144,deep_read_metadata,,Simulation of an Autonomous Mobile Robot for LiDAR-Based In-Field Phenotyping and Navigation,2020,Robotics,Jawad Iqbal; Rui Xu; Shangpeng Sun; Changying Li,https://doi.org/10.3390/robotics9020046,https://doi.org/10.3390/robotics9020046,96,occlusion aware object tracking robotics,openalex,Lidar; Precision agriculture; Bottleneck; Computer science; Waypoint; Robot,Improve robot or embodied perception under incomplete observations.,"Pose registration, keypoint, correspondence, or dense alignment mechanism.",enough object surface remains visible to constrain pose; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","The agriculture industry is in need of substantially increasing crop yield to meet growing global demand. Selective breeding programs can accelerate crop improvement but collecting phenotyping data is time- and labor-intensive because of the size of the research fields and the frequency of the work required. Automation could be a promising tool to address this phenotyping bottleneck. This paper presents a Robotic Operating System (ROS)-based mobile field robot that simultaneously navigates through occluded crop rows and performs various phenotyping tasks, such as measuring plant volume and canopy height using a 2D LiDAR in a nodding configuration. The efficacy of the proposed 2D LiDAR con...",56.777,56.777
145,deep_read_metadata,,Coaxially printed magnetic mechanical electrical hybrid structures with actuation and sensing functionalities,2023,Nature Communications,Yuanxi Zhang; Chengfeng Pan; Pengfei Liu; Lelun Peng; et al.,https://doi.org/10.1038/s41467-023-40109-z,https://doi.org/10.1038/s41467-023-40109-z,95,robot self occlusion perception manipulation,openalex,Materials science; Soft robotics; Actuator; Computer science; Electrical engineering; Mechanical engineering,Improve robot or embodied perception under incomplete observations.,View selection or information-gain planning to expose hidden state.,the robot can afford extra sensing actions before acting; the cause of a missing detection is not represented as robot-action evidence,camera calibration; sensing cost model; occluder semantics,confusing clear-view absence with robot-caused invisibility,Using motion to manage occlusion.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Soft electromagnetic devices have great potential in soft robotics and biomedical applications. However, existing soft-magneto-electrical devices would have limited hybrid functions and suffer from damaging stress concentrations, delamination or material leakage. Here, we report a hybrid magnetic-mechanical-electrical (MME) core-sheath fiber to overcome these challenges. Assisted by the coaxial printing method, the MME fiber can be printed into complex 2D/3D MME structures with integrated magnetoactive and conductive properties, further enabling hybrid functions including programmable magnetization, somatosensory, and magnetic actuation along with simultaneous wireless energy transfer. To...",56.759,56.759
146,deep_read_metadata,,Unlocking robotic perception: comparison of deep learning methods for simultaneous localization and mapping and visual simultaneous localization and mapping in robot,2025,International Journal of Intelligent Robotics and Applications,Minh Long Hoang,https://doi.org/10.1007/s41315-025-00419-5,https://doi.org/10.1007/s41315-025-00419-5,8,robot self occlusion perception manipulation,openalex,Artificial intelligence; Computer vision; Computer science; Perception; Robot; Deep learning,Build a spatial memory that remains useful as the robot moves through the world.,Learned visual representation or sequence model trained from labeled experience.,object absence can wait for later map revisits; training distribution covers relevant occlusion geometry; the cause of a missing detection is not represented as robot-action evidence,camera calibration; map update schedule; occluder semantics,stale object map entries during manipulation; confusing clear-view absence with robot-caused invisibility,Long-lived object memory in a spatial representation.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Abstract Simultaneous Localization and Mapping (SLAM) and Visual SLAM are crucial technologies in robotics, allowing autonomous systems to navigate and comprehend their environment. Deep learning (DL) has become a powerful tool in driving progress in these areas, providing solutions that improve accuracy, efficiency, and resilience. This article thoroughly analyzes different deep learning techniques designed explicitly for SLAM and Visual SLAM applications in robotic systems. This work provides a detailed overview of DL roles in SLAM and VSLAM and emphasizes the differences between these two fields. Five powerful DL methods are investigated: Convolutional Neural Networks in extracting fea...",56.735,56.735
147,deep_read_metadata,52,Tracking individual honeybees among wildflower clusters with computer vision-facilitated pollinator monitoring,2021,PLoS ONE,Malika Nisal Ratnayake; Adrian G. Dyer; Alan Dorin,https://doi.org/10.1371/journal.pone.0239504,https://doi.org/10.1371/journal.pone.0239504,87,robotic perception object occlusion tracking,openalex,Background subtraction; Context (archaeology); Computer science; Foraging; Artificial intelligence; Computer vision,Maintain object identity and state through missed or ambiguous detections.,Learned visual representation or sequence model trained from labeled experience.,misses are tolerable with a fixed temporal patience window; enough object surface remains visible to constrain pose; training distribution covers relevant occlusion geometry; camera occlusion generalizes to robot-body occlusion; the cause of a missing detection is not represented as robot-action evidence,camera calibration; deletion patience; object geometry or pose prior; occluder semantics,identity deletion during long robot self-occlusion; pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,General temporal persistence and missed-detection handling.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Monitoring animals in their natural habitat is essential for advancement of animal behavioural studies, especially in pollination studies. Non-invasive techniques are preferred for these purposes as they reduce opportunities for research apparatus to interfere with behaviour. One potentially valuable approach is image-based tracking. However, the complexity of tracking unmarked wild animals using video is challenging in uncontrolled outdoor environments. Out-of-the-box algorithms currently present several problems in this context that can compromise accuracy, especially in cases of occlusion in a 3D environment. To address the issue, we present a novel hybrid detection and tracking algori...",56.611,72.611
148,deep_read_metadata,,Machine learning for micro- and nanorobots,2024,Nature Machine Intelligence,Lidong Yang; Jialin Jiang; Fengtong Ji; Yangmin Li; et al.,https://doi.org/10.1038/s42256-024-00859-x,https://doi.org/10.1038/s42256-024-00859-x,83,robot self occlusion perception manipulation,openalex,Nanorobotics; Computer science; Business; Artificial intelligence,Improve robot or embodied perception under incomplete observations.,Task-specific perception model over partial observations.,the cause of a missing detection is not represented as robot-action evidence,camera calibration; occluder semantics,confusing clear-view absence with robot-caused invisibility,The broad claim that robots need memory under partial observability.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.",,56.532,56.532
149,deep_read_metadata,,ZoomNet: Part-Aware Adaptive Zooming Neural Network for 3D Object Detection,2020,Proceedings of the AAAI Conference on Artificial Intelligence,Zhenbo Xu; Wei Zhang; Xiaoqing Ye; Xiao Tan; et al.,https://doi.org/10.1609/aaai.v34i07.6945,https://doi.org/10.1609/aaai.v34i07.6945,81,robotic perception object occlusion tracking,openalex,Artificial intelligence; Computer science; Computer vision; Zoom; Benchmark (surveying); Object detection,Build a spatial memory that remains useful as the robot moves through the world.,Learned visual representation or sequence model trained from labeled experience.,object absence can wait for later map revisits; enough object surface remains visible to constrain pose; training distribution covers relevant occlusion geometry; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; map update schedule; occluder semantics,stale object map entries during manipulation; pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Long-lived object memory in a spatial representation.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","3D object detection is an essential task in autonomous driving and robotics. Though great progress has been made, challenges remain in estimating 3D pose for distant and occluded objects. In this paper, we present a novel framework named ZoomNet for stereo imagery-based 3D detection. The pipeline of ZoomNet begins with an ordinary 2D object detection model which is used to obtain pairs of left-right bounding boxes. To further exploit the abundant texture cues in rgb images for more accurate disparity estimation, we introduce a conceptually straight-forward module - adaptive zooming, which simultaneously resizes 2D instance bounding boxes to a unified resolution and adjusts the camera intr...",56.491,64.491
150,deep_read_metadata,,Bimanual robot control for surface treatment tasks,2021,International Journal of Systems Science,Alberto Garcia-Garcia; J. Ernesto Solanes; Luis Gracia; Pau MunozBenavent; et al.,https://doi.org/10.1080/00207721.2021.1938279,https://doi.org/10.1080/00207721.2021.1938279,13,robot self occlusion perception manipulation,openalex,Robot; Robot end effector; Workspace; Task (project management); Teleoperation; Arm solution,Improve robot or embodied perception under incomplete observations.,Task-specific perception model over partial observations.,the cause of a missing detection is not represented as robot-action evidence,camera calibration; occluder semantics,confusing clear-view absence with robot-caused invisibility,The broad claim that robots need memory under partial observability.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","This work develops a method to perform surface treatment tasks using a bimanual robotic system, i.e. two robot arms cooperatively performing the task. In particular, one robot arm holds the workpiece while the other robot arm has the treatment tool attached to its end-effector. Moreover, the human user teleoperates all the six coordinates of the former robot arm and two coordinates of the latter robot arm, i.e. the teleoperator can move the treatment tool on the plane given by the workpiece surface. Furthermore, a force sensor attached to the treatment tool is used to automatically attain the desired pressure between the tool and the workpiece and to automatically keep the tool orientatio...",56.486,56.486
151,deep_read_metadata,,HoverBots: Precise Locomotion Using Robots That Are Designed for Manufacturability,2017,Frontiers in Robotics and AI,Markus P. Nemitz; Mohammed E. Sayed; John Mamish; Gonzalo Ferrer; et al.,https://doi.org/10.3389/frobt.2017.00055,https://doi.org/10.3389/frobt.2017.00055,13,robot self occlusion perception manipulation,openalex,Robot; Computer science; Design for manufacturability; Odometry; Scalability; Robotics,Improve robot or embodied perception under incomplete observations.,View selection or information-gain planning to expose hidden state.,the robot can afford extra sensing actions before acting; the cause of a missing detection is not represented as robot-action evidence,camera calibration; sensing cost model; occluder semantics,confusing clear-view absence with robot-caused invisibility,Using motion to manage occlusion.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Scaling up robot swarms to collectives of hundreds or even thousands without sacrificing sensing, processing, and locomotion capabilities is a challenging problem. Low-cost robots are potentially scalable but the majority of existing systems have limited capabilities, and these limitations substantially constrain the type of experiments that could be performed by robotics researchers. As an alternative to increasing the quantity of robots by reducing their functionality, we have developed a new technology that delivers increased functionality at low-cost. In this paper we present a comprehensive literature review on the most commonly used locomotion strategies of swarm robotic systems. We...",56.486,64.486
152,deep_read_metadata,54,Occlusion and Deformation Handling Visual Tracking for UAV via Attention-Based Mask Generative Network,2022,Remote Sensing,Yashuo Bai; Yong Song; Yufei Zhao; Ya Zhou; et al.,https://doi.org/10.3390/rs14194756,https://doi.org/10.3390/rs14194756,13,occlusion aware object tracking robotics,openalex,Computer science; Artificial intelligence; Computer vision; Discriminative model; Discriminator; Convolutional neural network,Maintain object identity and state through missed or ambiguous detections.,Recursive filtering with a motion and observation model.,misses are tolerable with a fixed temporal patience window; enough object surface remains visible to constrain pose; training distribution covers relevant occlusion geometry; camera occlusion generalizes to robot-body occlusion; the cause of a missing detection is not represented as robot-action evidence,camera calibration; deletion patience; object geometry or pose prior; occluder semantics,identity deletion during long robot self-occlusion; pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,General temporal persistence and missed-detection handling.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Although the performance of unmanned aerial vehicle (UAV) tracking has benefited from the successful application of discriminative correlation filters (DCF) and convolutional neural networks (CNNs), UAV tracking under occlusion and deformation remains a challenge. The main dilemma is that challenging scenes, such as occlusion or deformation, are very complex and changeable, making it difficult to obtain training data covering all situations, resulting in trained networks that may be confused by new contexts that differ from historical information. Data-driven strategies are the main direction of current solutions, but gathering large-scale datasets with object instances under various occl...",56.486,72.486
153,deep_read_metadata,,Synergy-Based Bilateral Port: A Universal Control Module for Tele-Manipulation Frameworks Using Asymmetric Master-Slave Systems,2017,Frontiers in Bioengineering and Biotechnology,Anais Brygo; Ioannis Sarakoglou; Giorgio Grioli; Nikos G. Tsagarakis,https://doi.org/10.3389/fbioe.2017.00019,https://doi.org/10.3389/fbioe.2017.00019,13,6D object pose tracking manipulation occlusion,openalex,Computer science; GRASP; Kinematics; Robotic arm; Control system; Workspace,Estimate object pose robustly enough for robot manipulation.,"Pose registration, keypoint, correspondence, or dense alignment mechanism.",misses are tolerable with a fixed temporal patience window; object absence can wait for later map revisits; enough object surface remains visible to constrain pose; the cause of a missing detection is not represented as robot-action evidence,camera calibration; deletion patience; object geometry or pose prior; map update schedule; occluder semantics,identity deletion during long robot self-occlusion; stale object map entries during manipulation; pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,General temporal persistence and missed-detection handling.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Endowing tele-manipulation frameworks with the capability to accommodate a variety of robotic hands is key to achieving high performances through permitting to flexibly interchange the end-effector according to the task considered. This requires the development of control policies that not only cope with asymmetric master-slave systems but also whose high-level components are designed in a unified space in abstraction from the devices specifics. To address this dual challenge, a novel synergy port is developed that resolves the kinematic, sensing, and actuation asymmetries of the considered system through generating motion and force feedback references in the hardware-independent hand pos...",56.486,56.486
154,deep_read_metadata,,Occluded Apple Fruit Detection and Localization with a Frustum-Based Point-Cloud-Processing Approach for Robotic Harvesting,2022,Remote Sensing,Tao Li; Qingchun Feng; Quan Qiu; Feng Xie; et al.,https://doi.org/10.3390/rs14030482,https://doi.org/10.3390/rs14030482,79,robotic perception object occlusion tracking,openalex,Artificial intelligence; Frustum; Point cloud; Computer science; Computer vision; RGB color model,Improve robot or embodied perception under incomplete observations.,Learned visual representation or sequence model trained from labeled experience.,enough object surface remains visible to constrain pose; training distribution covers relevant occlusion geometry; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Precise localization of occluded fruits is crucial and challenging for robotic harvesting in orchards. Occlusions from leaves, branches, and other fruits make the point cloud acquired from Red Green Blue Depth (RGBD) cameras incomplete. Moreover, an insufficient filling rate and noise on depth images of RGBD cameras usually happen in the shade from occlusions, leading to the distortion and fragmentation of the point cloud. These challenges bring difficulties to position locating and size estimation of fruit for robotic harvesting. In this paper, a novel 3D fruit localization method is proposed based on a deep learning segmentation network and a new frustum-based point-cloud-processing met...",56.449,64.449
155,deep_read_metadata,56,"Interactive segmentation, tracking, and kinematic modeling of unknown 3D articulated objects",2013,Figshare,Dov Katz; Moslem Kazemi; J. Andrew Bagnell; Anthony Stentz,https://doi.org/10.1109/icra.2013.6631292,https://doi.org/10.1109/icra.2013.6631292,77,robotic perception object occlusion tracking,openalex,Computer vision; Artificial intelligence; Computer science; Kinematics; Robustness (evolution); Robot,Estimate object pose robustly enough for robot manipulation.,View selection or information-gain planning to expose hidden state.,misses are tolerable with a fixed temporal patience window; enough object surface remains visible to constrain pose; the robot can afford extra sensing actions before acting; the cause of a missing detection is not represented as robot-action evidence,camera calibration; deletion patience; object geometry or pose prior; sensing cost model; occluder semantics,identity deletion during long robot self-occlusion; pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,General temporal persistence and missed-detection handling.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","We present an interactive perceptual skill for segmenting, tracking, and modeling the kinematic structure of 3D articulated objects. This skill is a prerequisite for general manipulation in unstructured environments. Robot-environment interactions are used to move an unknown object, creating a perceptual signal that reveals the kinematic properties of the object. The resulting perceptual information can then inform and facilitate further manipulation. The algorithm is computationally efficient, handles partial occlusions, and depends on little object motion; it only requires sufficient texture for visual feature tracking. We conducted experiments with everyday objects on a robotic manipul...",56.406,72.406
156,deep_read_metadata,,Autonomous grasping of 3-D objects by a vision-actuated robot arm using Brain-Computer Interface,2023,Biomedical Signal Processing and Control,Arnab Rakshit; Shraman Pramanick; Anurag Bagchi; Saugat Bhattacharyya,https://doi.org/10.1016/j.bspc.2023.104765,https://doi.org/10.1016/j.bspc.2023.104765,12,robot self occlusion perception manipulation,openalex,Computer vision; Artificial intelligence; Computer science; GRASP; Object (grammar); Robotic arm,Improve robot or embodied perception under incomplete observations.,Task-specific perception model over partial observations.,the cause of a missing detection is not represented as robot-action evidence,camera calibration; occluder semantics,confusing clear-view absence with robot-caused invisibility,The broad claim that robots need memory under partial observability.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.",,56.360,56.360
157,deep_read_metadata,,"Aspects of 3D Perception, Abstraction, and Interpretation in Autonomous Mobile Robotics",2010,mediaTUM - the media and publications repository of the Technical University Munich (Technical University Munich),Klaas Klasing,,https://openalex.org/W2753431063,3,robot self occlusion perception manipulation,openalex,Abstraction; Computer science; Artificial intelligence; Representation (politics); Mobile robot; Point cloud,Improve robot or embodied perception under incomplete observations.,View selection or information-gain planning to expose hidden state.,enough object surface remains visible to constrain pose; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","This thesis presents novel insights and solutions to the problem of perceiving, abstracting, and interpreting the 3D structure of human environments with autonomous mobile robots. It focuses on the goal of retrieving a meaningful representation of objects from 3D laser range data for purposes of object recognition. As such, it represents an important contribution to the development of cognitive technical systems, which depend on intelligent perception as a core capability. A chain of abstraction is developed throughout the chapters, that leads from raw point cloud data to recognized objects. Following a thorough review of state-of-the-art sensing approaches, new studies and methods for fe...",56.357,56.357
158,deep_read_metadata,,A Fish-like Binocular Vision System for Underwater Perception of Robotic Fish,2024,Biomimetics,Ru Tong; Zhengxing Wu; Jinge Wang; Yupei Huang; et al.,https://doi.org/10.3390/biomimetics9030171,https://doi.org/10.3390/biomimetics9030171,3,robot self occlusion perception manipulation,openalex,Underwater; Computer vision; Parallax; Image stitching; Artificial intelligence; Computer science,Improve robot or embodied perception under incomplete observations.,View selection or information-gain planning to expose hidden state.,enough object surface remains visible to constrain pose; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Biological fish exhibit a remarkably broad-spectrum visual perception capability. Inspired by the eye arrangement of biological fish, we design a fish-like binocular vision system, thereby endowing underwater bionic robots with an exceptionally broad visual perception capacity. Firstly, based on the design principles of binocular visual field overlap and tangency to streamlined shapes, a fish-like vision system is developed for underwater robots, enabling wide-field underwater perception without a waterproof cover. Secondly, addressing the significant distortion and parallax of the vision system, a visual field stitching algorithm is proposed to merge the binocular fields of view and obta...",56.357,56.357
159,deep_read_metadata,,Egocentric visual self-modeling for autonomous robot dynamics prediction and adaptation,2025,npj Robotics,Yuhang Hu; Boyuan Chen; Hod Lipson,https://doi.org/10.1038/s44182-025-00031-6,https://doi.org/10.1038/s44182-025-00031-6,3,robot self occlusion perception manipulation,openalex,Adaptation (eye); Dynamics (music); Computer science; Artificial intelligence; Robot; Computer vision,Improve robot or embodied perception under incomplete observations.,View selection or information-gain planning to expose hidden state.,enough object surface remains visible to constrain pose; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Abstract The ability of robots to model their own dynamics is key to autonomous planning and learning, as well as for autonomous damage detection and recovery. Traditionally, dynamic models are pre-programmed or learned from external observations. Here, we demonstrate for the first time how a task-agnostic dynamic self-model can be learned using only a single first-person-view camera in a self-supervised manner, without any prior knowledge of robot morphology, kinematics, or task. Through experiments on a 12-DoF robot, we demonstrate the capabilities of the model in basic locomotion tasks using visual input. Notably, the robot can autonomously detect anomalies, such as damaged components,...",56.357,64.357
160,deep_read_metadata,57,Enhanced Self-Perception in Mixed Reality: Egocentric Arm Segmentation and Database With Automatic Labeling,2020,IEEE Access,Ester Gonzalez-Sosa; Pablo Perez; Ruben Tolosana; Redouane Kachach; et al.,https://doi.org/10.1109/access.2020.3013016,https://doi.org/10.1109/access.2020.3013016,21,robot self occlusion perception manipulation,openalex,Computer science; Artificial intelligence; Segmentation; Deep learning; Focus (optics); Computer vision,Improve robot or embodied perception under incomplete observations.,Learned visual representation or sequence model trained from labeled experience.,enough object surface remains visible to constrain pose; training distribution covers relevant occlusion geometry; camera occlusion generalizes to robot-body occlusion; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","In this study, we focus on the egocentric segmentation of arms to improve self-perception in Augmented Virtuality (AV). The main contributions of this work are: i) a comprehensive survey of segmentation algorithms for AV; ii) an Egocentric Arm Segmentation Dataset (EgoArm), composed of more than 10, 000 images, demographically inclusive (variations of skin color, and gender), and open for research purposes. We also provide all details required for the automated generation of groundtruth and semi-synthetic images; iii) the proposal of a deep learning network to segment arms in AV; iv) a detailed quantitative and qualitative evaluation to showcase the usefulness of the deep network and EgoA...",56.255,72.255
161,deep_read_metadata,,Interdisciplinary evaluation of a robot physically collaborating with workers,2023,PLoS ONE,Andrea Cherubini; Benjamin Navarro; Robin Passama; Sonny Tarbouriech; et al.,https://doi.org/10.1371/journal.pone.0291410,https://doi.org/10.1371/journal.pone.0291410,11,robot self occlusion perception manipulation,openalex,Robot; Task (project management); Usability; Human-computer interaction; Human-robot interaction; Robotics,Improve robot or embodied perception under incomplete observations.,Task-specific perception model over partial observations.,the cause of a missing detection is not represented as robot-action evidence,camera calibration; occluder semantics,confusing clear-view absence with robot-caused invisibility,The broad claim that robots need memory under partial observability.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Collaborative Robots-CoBots-are emerging as a promising technological aid for workers. To date, most CoBots merely share their workspace or collaborate without contact, with their human partners. We claim that robots would be much more beneficial if they physically collaborated with the worker, on high payload tasks. To move high payloads, while remaining safe, the robot should use two or more lightweight arms. In this work, we address the following question: to what extent can robots help workers in physical human-robot collaboration tasks? To find an answer, we have gathered an interdisciplinary group, spanning from an industrial end user to cognitive ergonomists, and including biomecha...",56.224,56.224
162,deep_read_metadata,58,NeuralFeels with neural fields: Visuotactile perception for in-hand manipulation,2024,Science Robotics,Sudharshan Suresh; Haozhi Qi; Tingfan Wu; Taosha Fan; et al.,https://doi.org/10.1126/scirobotics.adl0628,https://doi.org/10.1126/scirobotics.adl0628,68,robotic perception object occlusion tracking,openalex,Artificial intelligence; Computer vision; Computer science; Perception; Object (grammar); Haptic technology,Estimate object pose robustly enough for robot manipulation.,Learned visual representation or sequence model trained from labeled experience.,misses are tolerable with a fixed temporal patience window; enough object surface remains visible to constrain pose; training distribution covers relevant occlusion geometry; the cause of a missing detection is not represented as robot-action evidence,camera calibration; deletion patience; object geometry or pose prior; occluder semantics,identity deletion during long robot self-occlusion; pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,General temporal persistence and missed-detection handling.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","To achieve human-level dexterity, robots must infer spatial awareness from multimodal sensing to reason over contact interactions. During in-hand manipulation of novel objects, such spatial awareness involves estimating the object's pose and shape. The status quo for in-hand perception primarily uses vision and is restricted to tracking a priori known objects. Moreover, visual occlusion of objects in hand is imminent during manipulation, preventing current systems from pushing beyond tasks without occlusion. We combined vision and touch sensing on a multifingered hand to estimate an object's pose and shape during in-hand manipulation. Our method, NeuralFeels, encodes object geometry by le...",56.198,72.198
163,deep_read_metadata,,"Exploration Behaviors, Body Representations, and Simulation Processes for the Development of Cognition in Artificial Agents",2016,Frontiers in Robotics and AI,Guido Schillaci; Verena V. Hafner; Bruno Lara,https://doi.org/10.3389/frobt.2016.00039,https://doi.org/10.3389/frobt.2016.00039,67,robot self occlusion perception manipulation,openalex,Internal model; Imitation; Cognition; Sense of agency; Cognitive science; Computer science,Improve robot or embodied perception under incomplete observations.,Task-specific perception model over partial observations.,the cause of a missing detection is not represented as robot-action evidence,camera calibration; occluder semantics,confusing clear-view absence with robot-caused invisibility,The broad claim that robots need memory under partial observability.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Sensorimotor control and learning are fundamental prerequisites for cognitive development in humans and animals. Evidence from behavioural sciences and neuroscience suggests that motor and brain development are strongly intertwined with the experiential process of \textit{exploration}, where internal body representations are formed and maintained over time. In order to guide our movements, our brain must hold an internal model of our body and constantly monitor its configuration state. How can sensorimotor control using such low-level body representations enable the development of more complex cognitive and motor capabilities? Although a clear answer has still not been found for this ques...",56.173,64.173
164,deep_read_metadata,59,Development and evaluation of automated localisation and reconstruction of all fruits on tomato plants in a greenhouse based on multi-view perception and 3D multi-object tracking,2023,Biosystems Engineering,David Rapado-Rincon; E.J. van Henten; Gert Kootstra,https://doi.org/10.1016/j.biosystemseng.2023.06.003,https://doi.org/10.1016/j.biosystemseng.2023.06.003,36,robotic perception object occlusion tracking,openalex,Computer vision; Viewpoints; Artificial intelligence; Representation (politics); Object (grammar); Computer science,Maintain object identity and state through missed or ambiguous detections.,View selection or information-gain planning to expose hidden state.,misses are tolerable with a fixed temporal patience window; the cause of a missing detection is not represented as robot-action evidence,camera calibration; deletion patience; occluder semantics,identity deletion during long robot self-occlusion; confusing clear-view absence with robot-caused invisibility,General temporal persistence and missed-detection handling.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","The ability to accurately represent and localise relevant objects is essential for robots to carry out tasks effectively. Traditional approaches, where robots simply capture an image, process that image to take an action, and then forget the information, have proven to struggle in the presence of occlusions. Methods using multi-view perception, which have the potential to address some of these problems, require a world model that guides the collection, integration and extraction of information from multiple viewpoints. Furthermore, constructing a generic representation that can be applied in various environments and tasks is a difficult challenge. In this paper, a novel approach for build...",56.139,72.139
165,deep_read_metadata,,How Does a Robot Develop Its Reaching Ability Like Human Infants Do?,2018,IEEE Transactions on Cognitive and Developmental Systems,Dingsheng Luo; Fan Hu; Tao Zhang; Yian Deng; et al.,https://doi.org/10.1109/tcds.2018.2861893,https://doi.org/10.1109/tcds.2018.2861893,10,robot self occlusion perception manipulation,openalex,Computer science; iCub; Babbling; Autoencoder; Robot; Artificial intelligence,Estimate object pose robustly enough for robot manipulation.,Learned visual representation or sequence model trained from labeled experience.,enough object surface remains visible to constrain pose; training distribution covers relevant occlusion geometry; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","In this paper, we address the issue robots developing a reaching ability, as human infants do. Specifically, a novel infant-inspired framework is proposed based on recent findings that the emergence of reaching is the product of a deeply embodied process. The methodology behind our framework is to develop proprioception, fixation, and internal models (including both the forward and inverse models) in three sequential phases, with the whole developing process being driven by self-produced motor babbling. In the first phase, an autoencoder-based proprioception model is proposed. In the second phase, a simplified strategy for imitating the function of fixation is developed. In the third phas...",56.076,64.076
